FRANCE GENERAL,#genre#
MULTI SPORTS 5,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56535
MULTI SPORTS 6,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56534
TRACE SPORT STARS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/231649
AUTO MOTO,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56526
EQUIDIA,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56528
OL TV,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56532
GOLF+ ,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56525
TELECLUB ZOOM,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/62668
OLYMPIA,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/79395

FRANCE NEWS,#genre#
FRANCE 24,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60117
FRANCE INFO,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56872
LA CHAINE METEO,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56871
EURONEWS FRENCH,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56873
C NEWS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56878
I24 NEWS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56874
LCI,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56877
LCP,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56876
CANAL NEWS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/60118
TELE SUD,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310641
RT France,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/104875
01 TV,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310623
BFM TV,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/57007
BFM PARIS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56973
BFM BUSINESS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56984
BFM ALSACE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310617
BFM COTE D'AZUR,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310619
BFM TOULONVAR,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/310618
